,category,text,clean_text,clean_text_lem,clean_text_stem
0,Home Furnishing,"Elegance Polyester Multicolor Abstract Eyelet Door Curtain Key Features of Elegance Polyester Multicolor Abstract Eyelet Door Curtain Floral Curtain,Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) Price: Rs. 899 This curtain enhances the look of the interiors.This curtain is made from 100% high quality polyester fabric.It features an eyelet style stitch with Metal Ring.It makes the room environment romantic and loving.This curtain is ant- wrinkle and anti shrinkage and have elegant apparance.Give your home a bright and modernistic appeal with these designs. The surreal attention is sure to steal hearts. These contemporary eyelet and valance curtains slide smoothly so when you draw them apart first thing in the morning to welcome the bright sun rays you want to wish good morning to the whole world and when you draw them close in the evening, you create the most special moments of joyous beauty given by the soothing prints. Bring home the elegant curtain that softly filters light in your room so that you get the right amount of sunlight.,Specifications of Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) General Brand Elegance Designed For Door Type Eyelet Model Name Abstract Polyester Door Curtain Set Of 2 Model ID Duster25 Color Multicolor Dimensions Length 213 cm In the Box Number of Contents in Sales Package Pack of 2 Sales Package 2 Curtains Body & Design Material Polyester",elegance polyester multicolor abstract eyelet door curtain key elegance polyester multicolor abstract eyelet door curtain floral curtain elegance polyester multicolor abstract eyelet door curtain height pack curtain enhances look curtain made high quality polyester eyelet style stitch metal makes room environment curtain wrinkle anti shrinkage elegant home bright appeal designs attention sure contemporary eyelet curtains slide smoothly draw apart first thing morning welcome bright sun rays want wish good morning whole world draw evening create special moments beauty given soothing prints bring home elegant curtain light room get right amount elegance polyester multicolor abstract eyelet door curtain height pack elegance designed door eyelet model name abstract polyester door curtain set model multicolor dimensions length number contents sales package pack sales package curtains body design material polyester,elegance polyester multicolor abstract eyelet door curtain key elegance polyester multicolor abstract eyelet door curtain floral curtain elegance polyester multicolor abstract eyelet door curtain height pack curtain enhances look curtain made high quality polyester eyelet style stitch metal make room environment curtain wrinkle anti shrinkage elegant home bright appeal design attention sure contemporary eyelet curtain slide smoothly draw apart first thing morning welcome bright sun ray want wish good morning whole world draw evening create special moment beauty given soothing print bring home elegant curtain light room get right amount elegance polyester multicolor abstract eyelet door curtain height pack elegance designed door eyelet model name abstract polyester door curtain set model multicolor dimension length number content sale package pack sale package curtain body design material polyester,eleg polyest multicolor abstract eyelet door curtain key eleg polyest multicolor abstract eyelet door curtain floral curtain eleg polyest multicolor abstract eyelet door curtain height pack curtain enhanc look curtain made high qualiti polyest eyelet style stitch metal make room environ curtain wrinkl anti shrinkag eleg home bright appeal design attent sure contemporari eyelet curtain slide smoothli draw apart first thing morn welcom bright sun ray want wish good morn whole world draw even creat special moment beauti given sooth print bring home eleg curtain light room get right amount eleg polyest multicolor abstract eyelet door curtain height pack eleg design door eyelet model name abstract polyest door curtain set model multicolor dimens length number content sale packag pack sale packag curtain bodi design materi polyest
1,Baby Care,"Sathiyas Cotton Bath Towel Specifications of Sathiyas Cotton Bath Towel (3 Bath Towel, Red, Yellow, Blue) Bath Towel Features Machine Washable Yes Material Cotton Design Self Design General Brand Sathiyas Type Bath Towel GSM 500 Model Name Sathiyas cotton bath towel Ideal For Men, Women, Boys, Girls Model ID asvtwl322 Color Red, Yellow, Blue Size Mediam Dimensions Length 30 inch Width 60 inch In the Box Number of Contents in Sales Package 3 Sales Package 3 Bath Towel",sathiyas cotton bath towel sathiyas cotton bath towel bath towel red yellow blue bath towel machine washable yes material cotton design self design sathiyas bath towel gsm model name sathiyas cotton bath towel ideal men women boys girls model red yellow blue size dimensions length inch width inch number contents sales package sales package bath towel,sathiyas cotton bath towel sathiyas cotton bath towel bath towel red yellow blue bath towel machine washable yes material cotton design self design sathiyas bath towel gsm model name sathiyas cotton bath towel ideal men woman boy girl model red yellow blue size dimension length inch width inch number content sale package sale package bath towel,sathiya cotton bath towel sathiya cotton bath towel bath towel red yellow blue bath towel machin washabl ye materi cotton design self design sathiya bath towel gsm model name sathiya cotton bath towel ideal men women boy girl model red yellow blue size dimens length inch width inch number content sale packag sale packag bath towel
2,Baby Care,"Eurospa Cotton Terry Face Towel Set Key Features of Eurospa Cotton Terry Face Towel Set Size: small Height: 9 inch GSM: 360,Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Price: Rs. 299 Eurospa brings to you an exclusively designed, 100% soft cotton towels of export quality. All our products have soft texture that takes care of your skin and gives you that enriched feeling you deserve. Eurospa has been exporting its bath towels to lot of renowned brands for last 10 years and is famous for its fine prints, absorbency, softness and durability. NOTE: Our product is 100% cotton, so it is susceptible to shrinkage. Product color may vary from the picture. Size may vary by ±3% WASH CARE: Wash in cold Water, Do not Iron, Do not Bleach, Flat dry, Wash before first use. SIZE- FACE TOWEL - 23 cms X 23 cms.,Specifications of Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Bath Towel Features Material Cotton Terry Design SHUVAM General Brand Eurospa GSM 360 Type Face Towel Set Model Name SHUVAM20PCFTSETASSORTED Ideal For Boys, Girls, Men, Women Model ID SHUVAM20PCFTSETASSORTED Size small Color Assorted Dimensions Weight 350 g Length 9 inch Width 9 inch In the Box Number of Contents in Sales Package 20 Sales Package 20 PIECE FACE TOWEL SET",eurospa cotton terry face towel set key eurospa cotton terry face towel set size small height inch gsm eurospa cotton terry face towel set piece face towel set assorted eurospa brings exclusively designed soft cotton towels export quality soft texture care skin gives feeling eurospa exporting bath towels brands last years famous fine prints absorbency softness durability note product cotton shrinkage product may vary picture size may vary wash care wash cold water iron bleach flat dry wash first use face towel cms eurospa cotton terry face towel set piece face towel set assorted bath towel material cotton terry design eurospa gsm face towel set model name ideal boys girls men women model size small assorted dimensions weight length inch width inch number contents sales package sales package piece face towel set,eurospa cotton terry face towel set key eurospa cotton terry face towel set size small height inch gsm eurospa cotton terry face towel set piece face towel set assorted eurospa brings exclusively designed soft cotton towel export quality soft texture care skin give feeling eurospa exporting bath towel brand last year famous fine print absorbency softness durability note product cotton shrinkage product may vary picture size may vary wash care wash cold water iron bleach flat dry wash first use face towel cm eurospa cotton terry face towel set piece face towel set assorted bath towel material cotton terry design eurospa gsm face towel set model name ideal boy girl men woman model size small assorted dimension weight length inch width inch number content sale package sale package piece face towel set,eurospa cotton terri face towel set key eurospa cotton terri face towel set size small height inch gsm eurospa cotton terri face towel set piec face towel set assort eurospa bring exclus design soft cotton towel export qualiti soft textur care skin give feel eurospa export bath towel brand last year famou fine print absorb soft durabl note product cotton shrinkag product may vari pictur size may vari wash care wash cold water iron bleach flat dri wash first use face towel cm eurospa cotton terri face towel set piec face towel set assort bath towel materi cotton terri design eurospa gsm face towel set model name ideal boy girl men women model size small assort dimens weight length inch width inch number content sale packag sale packag piec face towel set
3,Home Furnishing,"SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet Key Features of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet Royal Bedsheet Perfact for Wedding & Gifting,Specifications of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet (1 Bedsheet,2 Pillow Cover, Multicolor) General Brand SANTOSH ROYAL FASHION Machine Washable Yes Type Flat Material Cotton Model Name Gold Design Royal Cotton Printed Wedding & Gifted Double Bedsheet With 2 Pillow cover Model ID goldbedi-38 Color Multicolor Size King Fabric Care Machine Wash, Do Not Bleach Dimensions Flat Sheet Width 90 inch / 230 cm Fitted Sheet Width 228 cm Pillow Cover Width 16 inch / 43 cm Pillow Cover Length 28 inch / 72 cm Fitted Sheet Depth 280 cm Fitted Sheet Length 278 cm Flat Sheet Depth 282 cm Flat Sheet Length 110 inch / 280 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 Bedsheet,2 Pillow Cover",santosh royal fashion cotton printed king sized double bedsheet key santosh royal fashion cotton printed king sized double bedsheet royal bedsheet wedding gifting santosh royal fashion cotton printed king sized double bedsheet pillow cover multicolor santosh royal fashion machine washable yes flat material cotton model name gold design royal cotton printed wedding gifted double bedsheet pillow cover model multicolor size king fabric care machine wash bleach dimensions flat sheet width inch fitted sheet width pillow cover width inch pillow cover length inch fitted sheet depth fitted sheet length flat sheet depth flat sheet length inch number contents sales package sales package pillow cover,santosh royal fashion cotton printed king sized double bedsheet key santosh royal fashion cotton printed king sized double bedsheet royal bedsheet wedding gifting santosh royal fashion cotton printed king sized double bedsheet pillow cover multicolor santosh royal fashion machine washable yes flat material cotton model name gold design royal cotton printed wedding gifted double bedsheet pillow cover model multicolor size king fabric care machine wash bleach dimension flat sheet width inch fitted sheet width pillow cover width inch pillow cover length inch fitted sheet depth fitted sheet length flat sheet depth flat sheet length inch number content sale package sale package pillow cover,santosh royal fashion cotton print king size doubl bedsheet key santosh royal fashion cotton print king size doubl bedsheet royal bedsheet wed gift santosh royal fashion cotton print king size doubl bedsheet pillow cover multicolor santosh royal fashion machin washabl ye flat materi cotton model name gold design royal cotton print wed gift doubl bedsheet pillow cover model multicolor size king fabric care machin wash bleach dimens flat sheet width inch fit sheet width pillow cover width inch pillow cover length inch fit sheet depth fit sheet length flat sheet depth flat sheet length inch number content sale packag sale packag pillow cover
4,Home Furnishing,"Jaipur Print Cotton Floral King sized Double Bedsheet Key Features of Jaipur Print Cotton Floral King sized Double Bedsheet 100% cotton,Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) Price: Rs. 998 This nice bed sheet made up of 100% cotton to give you comfort. This bed sheet is hand printed. This bedsheet gives nice look to your room And its fast colour and good quality gives this bedsheet long life.,Specifications of Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) General Machine Washable Yes Brand Jaipur Print Type Flat Model Name jaipur117 Material Cotton Thread Count 140 Model ID jaipur117 Fabric Care machinewash, do not bleach Size King Color White Warranty waranty of the product only for manufacturing defect only and product will exchange onle when it is not used and returne its origional packing Dimensions Flat Sheet Width 86 inch / 220 cm Fitted Sheet Width 0 cm Pillow Cover Width 17 inch / 45 cm Pillow Cover Length 29 inch / 75 cm Weight 900 g Fitted Sheet Depth 0 cm Fitted Sheet Length 0 cm Flat Sheet Depth 0.2 cm Flat Sheet Length 104 inch / 265 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 bed sheet 2 pillow cover",jaipur print cotton floral king sized double bedsheet key jaipur print cotton floral king sized double bedsheet cotton jaipur print cotton floral king sized double bedsheet bed sheet pillow cover white nice bed sheet made cotton give comfort bed sheet hand printed bedsheet gives nice look room fast colour good quality gives bedsheet long jaipur print cotton floral king sized double bedsheet bed sheet pillow cover white machine washable yes jaipur print flat model name material cotton thread count model fabric care bleach size king white warranty waranty product manufacturing defect product exchange used returne origional packing dimensions flat sheet width inch fitted sheet width pillow cover width inch pillow cover length inch weight fitted sheet depth fitted sheet length flat sheet depth flat sheet length inch number contents sales package sales package bed sheet pillow cover,jaipur print cotton floral king sized double bedsheet key jaipur print cotton floral king sized double bedsheet cotton jaipur print cotton floral king sized double bedsheet bed sheet pillow cover white nice bed sheet made cotton give comfort bed sheet hand printed bedsheet give nice look room fast colour good quality give bedsheet long jaipur print cotton floral king sized double bedsheet bed sheet pillow cover white machine washable yes jaipur print flat model name material cotton thread count model fabric care bleach size king white warranty waranty product manufacturing defect product exchange used returne origional packing dimension flat sheet width inch fitted sheet width pillow cover width inch pillow cover length inch weight fitted sheet depth fitted sheet length flat sheet depth flat sheet length inch number content sale package sale package bed sheet pillow cover,jaipur print cotton floral king size doubl bedsheet key jaipur print cotton floral king size doubl bedsheet cotton jaipur print cotton floral king size doubl bedsheet bed sheet pillow cover white nice bed sheet made cotton give comfort bed sheet hand print bedsheet give nice look room fast colour good qualiti give bedsheet long jaipur print cotton floral king size doubl bedsheet bed sheet pillow cover white machin washabl ye jaipur print flat model name materi cotton thread count model fabric care bleach size king white warranti waranti product manufactur defect product exchang use return origion pack dimens flat sheet width inch fit sheet width pillow cover width inch pillow cover length inch weight fit sheet depth fit sheet length flat sheet depth flat sheet length inch number content sale packag sale packag bed sheet pillow cover
5,Watches,"Maserati Time R8851116001 Analog Watch  - For Boys Maserati Time R8851116001 Analog Watch  - For Boys - Buy Maserati Time R8851116001 Analog Watch  - For Boys  R8851116001 Online at Rs.24400 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",maserati time analog watch boys maserati time analog watch boys maserati time analog watch boys online india great discounts day replacement guarantee,maserati time analog watch boy maserati time analog watch boy maserati time analog watch boy online india great discount day replacement guarantee,maserati time analog watch boy maserati time analog watch boy maserati time analog watch boy onlin india great discount day replac guarante
6,Watches,"Camerii WM64 Elegance Analog Watch  - For Men, Boys Camerii WM64 Elegance Analog Watch  - For Men, Boys - Buy Camerii WM64 Elegance Analog Watch  - For Men, Boys  WM64 Online at Rs.449 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",camerii elegance analog watch men boys camerii elegance analog watch men boys camerii elegance analog watch men boys online india great discounts day replacement guarantee,camerii elegance analog watch men boy camerii elegance analog watch men boy camerii elegance analog watch men boy online india great discount day replacement guarantee,camerii eleg analog watch men boy camerii eleg analog watch men boy camerii eleg analog watch men boy onlin india great discount day replac guarante
7,Watches,"T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys
                         Price: Rs. 399
				
			Whether you are on your way to work or travelling abroad with family, lifestyle accessories like watches, wallets and belts help to add a touch of sophistication and class to your otherwise mundane and regular daily wear. When it all comes down to it, suave leather belts and intricately designed and finished timepieces are what separate you from the rest.
Whether you are on your way to work or travelling abroad with family, lifestyle accessories like watches, wallets and belts help to add a touch of sophistication and class to your otherwise mundane and regular daily wear. When it all comes down to it, suave leather belts and intricately designed and finished timepieces are what separate you from the rest.",star analog watch boys star analog watch boys whether way work travelling abroad family lifestyle accessories like watches wallets belts help add touch sophistication class otherwise mundane regular daily wear comes suave leather belts intricately designed finished timepieces separate rest whether way work travelling abroad family lifestyle accessories like watches wallets belts help add touch sophistication class otherwise mundane regular daily wear comes suave leather belts intricately designed finished timepieces separate rest,star analog watch boy star analog watch boy whether way work travelling abroad family lifestyle accessory like watch wallet belt help add touch sophistication class otherwise mundane regular daily wear come suave leather belt intricately designed finished timepiece separate rest whether way work travelling abroad family lifestyle accessory like watch wallet belt help add touch sophistication class otherwise mundane regular daily wear come suave leather belt intricately designed finished timepiece separate rest,star analog watch boy star analog watch boy whether way work travel abroad famili lifestyl accessori like watch wallet belt help add touch sophist class otherwis mundan regular daili wear come suav leather belt intric design finish timepiec separ rest whether way work travel abroad famili lifestyl accessori like watch wallet belt help add touch sophist class otherwis mundan regular daili wear come suav leather belt intric design finish timepiec separ rest
8,Watches,"Alfajr WY16B Youth Digital Watch  - For Men, Boys Alfajr WY16B Youth Digital Watch  - For Men, Boys - Buy Alfajr WY16B Youth Digital Watch  - For Men, Boys  WY16B Online at Rs.4995 in India Only at Flipkart.com. Azan Times ( For All Cities Around The World ), Prayer Reminders, Qibla Direction, Hijri And Gregorian Calnedars, Qur'An Bookmark, Daily Alrams - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",alfajr youth digital watch men boys alfajr youth digital watch men boys alfajr youth digital watch men boys online india azan times around world prayer qibla direction daily great discounts day replacement guarantee,alfajr youth digital watch men boy alfajr youth digital watch men boy alfajr youth digital watch men boy online india azan time around world prayer qibla direction daily great discount day replacement guarantee,alfajr youth digit watch men boy alfajr youth digit watch men boy alfajr youth digit watch men boy onlin india azan time around world prayer qibla direct daili great discount day replac guarante
9,Watches,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men - Buy TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men  CAU1116.BA0858 Online at Rs.107750 in India Only at Flipkart.com. Swiss-made, Quartz movement, Scratch resistant, Sapphire crystal glass, Water resistant to 200 metres, Feature Chronograph - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",tag heuer formula analog watch boys men tag heuer formula analog watch boys men tag heuer formula analog watch boys men online india quartz movement scratch resistant crystal glass water resistant feature chronograph great discounts day replacement guarantee,tag heuer formula analog watch boy men tag heuer formula analog watch boy men tag heuer formula analog watch boy men online india quartz movement scratch resistant crystal glass water resistant feature chronograph great discount day replacement guarantee,tag heuer formula analog watch boy men tag heuer formula analog watch boy men tag heuer formula analog watch boy men onlin india quartz movement scratch resist crystal glass water resist featur chronograph great discount day replac guarante
